2021-09-14 17:27:11 INFO  Main:15 - Test log4j
2021-09-14 18:13:16 INFO  PatientPage2:103 - Export Excel
2021-09-14 18:14:36 INFO  PatientPage2:103 - Export Excel
2021-09-14 18:18:09 INFO  PatientPage2:103 - Export Excel
2021-09-14 18:26:47 INFO  LoginPage:49 - Export Excel
2021-09-14 18:28:37 INFO  PatientPage2:237 - Image location to write: D:\IFI-Solution\Project\Covid_tracking\src\main\java\com\ifi\javacore\management\covid\image\1.jfif
2021-09-14 18:28:37 INFO  PatientPage2:244 - Images were written succesfully.
2021-09-14 18:28:37 INFO  PatientPage2:228 - Add patient: ID 17, Name: Emi Fukada
2021-09-14 18:28:37 INFO  PatientPage2:229 - Insert patient successful!
2021-09-14 18:32:44 INFO  LoginPage:49 - Export Excel
2021-09-14 18:35:50 INFO  LoginPage:49 - Export Excel
2021-09-14 18:35:59 INFO  LoginPage:49 - Export Excel
2021-09-14 18:36:09 INFO  LoginPage:49 - Export Excel
2021-09-14 18:36:19 INFO  LoginPage:49 - Export Excel
2021-09-14 18:36:29 INFO  LoginPage:49 - Export Excel
2021-09-14 18:36:39 INFO  LoginPage:49 - Export Excel
2021-09-14 18:36:49 INFO  LoginPage:49 - Export Excel
2021-09-14 18:36:59 INFO  LoginPage:49 - Export Excel
2021-09-14 18:37:09 INFO  LoginPage:49 - Export Excel
2021-09-14 18:37:19 INFO  LoginPage:49 - Export Excel
2021-09-14 18:37:29 INFO  LoginPage:49 - Export Excel
2021-09-14 18:37:39 INFO  LoginPage:49 - Export Excel
2021-09-14 18:37:49 INFO  LoginPage:49 - Export Excel
2021-09-14 18:37:59 INFO  LoginPage:49 - Export Excel
2021-09-14 18:38:09 INFO  LoginPage:49 - Export Excel
2021-09-14 18:38:19 INFO  LoginPage:49 - Export Excel
2021-09-14 18:38:29 INFO  LoginPage:49 - Export Excel
2021-09-14 18:38:39 INFO  LoginPage:49 - Export Excel
2021-09-14 18:38:49 INFO  LoginPage:49 - Export Excel
2021-09-14 18:38:59 INFO  LoginPage:49 - Export Excel
